rx_data_id (OUT),end_device_id (OUT),gateway_id (OUT),received_time (OUT),sequence_number (OUT),port (OUT),radio_id (OUT),channel (OUT),snr_db (OUT),rssi_dbm (OUT),frequency_hz (OUT),modulation_type (OUT),data_rate (OUT),coding_rate (OUT),adr (OUT),payload (OUT)
103356,3036363264397D0B,7276FF0039030A46,1665664848,1,2,0,2,9.000000,-46,868500000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103357,3036363264397D0B,7276FF0039030A46,1665664898,6,2,0,1,12.200000,-51,868300000,LoRa,SF12BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103358,3036363264397D0B,7276FF0039030A46,1665664918,8,2,0,0,14.200000,-45,868100000,LoRa,SF12BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103359,303636326E398D17,7276FF0039030A46,1665664931,1,2,0,2,9.000000,-46,868500000,LoRa,SF12BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103360,3036363264397D0B,7276FF0039030A46,1665664938,10,2,0,0,12.000000,-47,868100000,LoRa,SF12BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103361,3036363264397D0B,7276FF0039030A46,1665664946,11,2,0,2,7.500000,-45,868500000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103362,303636326E398D17,7276FF0039030A46,1665664951,3,2,0,0,11.800000,-48,868100000,LoRa,SF12BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103363,3036363264397D0B,7276FF0039030A46,1665664956,12,2,0,1,9.500000,-46,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103364,303636326E398D17,7276FF0039030A46,1665664961,4,2,0,2,7.500000,-47,868500000,LoRa,SF12BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103365,303636326739830B,7276FF0039030A46,1665664962,1,2,0,1,11.500000,-41,868300000,LoRa,SF12BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103366,3036363264397D0B,7276FF0039030A46,1665664966,13,2,0,1,-4.500000,-41,868300000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103367,303636326739830B,7276FF0039030A46,1665664972,2,2,0,1,9.800000,-45,868300000,LoRa,SF12BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103368,3036363264397D0B,7276FF0039030A46,1665664976,14,2,0,1,9.800000,-53,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103369,303636326739830B,7276FF0039030A46,1665664982,3,2,0,2,7.500000,-39,868500000,LoRa,SF12BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103370,3036363264397D0B,7276FF0039030A46,1665664986,15,2,0,0,1.800000,-52,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103371,303636326E398D17,7276FF0039030A46,1665664987,1,2,0,0,11.000000,-52,868100000,LoRa,SF12BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
